activity,category,item
Swimming,clothing and accessories,"['swimsuit and cover-up', 'hair ties', 'hat', 'shoes', 'change of clothes', 'hat, towel, sunglasses, sunblock and book']"
Swimming,be safe at the pool,"['sunblock', 'lip balm', 'goggles', 'sunglasses', 'safety/ flotation devices', 'first aid kit', 'bandaids', 'neosporin', 'pain killers', 'benedryl', 'prescription medication']"
Swimming,fun pool essentials,"['pool toys', 'reading material']"
Swimming,food and drink,"['water.', 'snacks/food']"
Swimming,miscellaneous swimming bag essentials,"['money', 'comb/ detangler', 'towel', 'wet bag', 'wet bag']"
River Rafting,travel essentials,"['tents', 'sleeping bags', 'sleeping pads', 'pillows', 'headlamps', 'lantern', 'camp chairs', 'table', 'camera', 'games', 'gps', 'river map', 'river permit (if required)', 'satellite phone (consider for safety if no service)', 'waterproof watch', 'daypack for hikes', 'knives (2)', 'umbrella or other shade', 'firepan (required for most trip)', 'wood (if fires are allowed)', 'hatchet', 'otter box or ammo can (waterproof) for phone/keys', 'dry bags', 'toilet system (washable, leak-proof), tp, hand santizer', 'pfds (type i, iii, or v)', 'rafts, frames, oars (bring one spare per raft), pump, repair kit', 'inflatable kayaks or sups', 'throw ropes (one per raft)', 'carabineers', 'cam straps']"
River Rafting,toiletries & hygiene,"['toiletry kit', 'first aid kit', 'uv-protectant lip balm', 'deodorant', 'moisturizing face cream', 'toothpaste and brushes', 'handsoap/sanitizer', 'bug spray', 'sunscreen', 'wash cloth', 'eyewash/eye drops']"
River Rafting,kitchen / food list,"['50 gal water (based on .75 gal per person per day)', 'food (ideally prepared) for at least one more day than you need', 'snacks for on river (dont forget the jerky)', 'water bottles', 'backpacking pots and pans, kettle, hot pads', 'cutting board', '2 burner stove + 1 small stove', 'fuel for stoves', 'charcoal for firepan', 'lighters', 'stove-top coffee maker', 'dishwashing tubs and washing supplies (soap and bleach)', 'strainer for dish water', 'dish drying rack (mesh ideal)', 'spices and oil / butter', 'backpacking bowls, plates, silverware', 'mugs', 'sealable containers for leftovers + ziplocs', '2 coolers', 'dish towels', 'sealable trash system / trash bags']"
River Rafting,clothing list,"['sun / baseball hats', 'sunglasses', 'rain jackets', 'hoodies/light down jackets/fleeces', 'pants (1 pair each)', 'shorts', 'swimsuits', 'water shoes', 'hiking shoes', 'long sleeve shirt', 'short sleeve shirt with collar', 'bandanas', '1 pair of socks', 'towel']"
Cherry Blossom Viewing,essentials,"['a warm jacket or outerwear', 'a large picnic mat', 'an umbrella', 'disposable utensils, cutlery & garbage bags', 'a book or something to entertain you']"
Picnic,picnic basket or canvas bag,"['cooler', 'picnic blanket (preferably waterproof on the bottom)', 'picnic chairs (if anyone in your group is not happy on the ground)', ""portable picnic table (if that's the kind of picnic you're having!)""]"
Picnic,for serving,"['plates', 'utensils (including serving utensils)', 'napkins', 'cups', 'drinks (including lots of water)', 'bottle opener', 'cutting board (also useful as a level serving surface, perfect for drinks)', ""sharp knife (even if you don't plan to cut things, it's still a good idea)"", 'salt and pepper', 'mustard, mayo, ketchup, etc., if needed (a great way to make use of extra packets from a takeout place)']"
Picnic,for cleanup,"['paper towels (and maybe wet wipes)', 'a couple of dishtowels (always handy, and useful to buffer and support dishes in transport)', 'extra plastic containers or sturdy zipper-top bags for packing up dirty utensils, leftovers, etc.', 'trash bags']"
Picnic,other essentials,"['sunscreen', 'hats', 'insect repellent', 'flashlight (if you plan to be out into the evening hours)', 'sport or activity equipment (frisbees, balls, bubbles, water guns ... whatever the crowd likes)']"
Beach,clothes & accessories to pack,"['swimsuits', 'cover-ups', 'sunglasses', 'hats', 'sandals', 'water shoes', 'socks', 'undershirts', 'bras', 'sleepwear', 't-shirts', 'casual shirts', 'jeans', 'pants', 'shorts', 'dresses', 'skirts', 'light sweaters', 'leisure shoes', 'belts', 'jewelry', 'beach bag', 'small purse', 'athletic shoes', 'workout gear']"
Beach,toiletries to pack,"['toothbrush', 'toothpaste', 'dental floss', 'soap', 'deodorant', 'shampoo', 'conditioner', 'hair brush', 'styling tools', 'facial cleanser', 'moisturizer', 'sunscreen', 'shaving supplies', 'contact lenses', 'contact solution', 'makeup', 'makeup remover', 'menstrual care products', 'birth control', 'spf lip balm', 'after sun cream', 'nail file', 'nail clippers', 'tweezers', 'hand sanitizer', 'bandages', 'first-aid ointment', 'insect repellent', 'medications', 'pain relievers', 'vitamins', 'disposable wipes']"
Beach,beach gear to pack,"['beach umbrella', 'beach towel', 'beach blanket', 'beach chairs', 'beach toys', 'beach sport games', 'inflatable floats', 'snorkel gear', 'cooler', 'waterproof phone case', 'portable speaker', 'beach safe']"
