city,province,activity,spots
Banff,Alberta,River Rafting,"['Pangaea River Rafting | Missoula Whitewater Rafting', 'Canadian Outback Rafting', 'Interior Whitewater Expeditions Ltd', 'Glacier Guides and Montana Raft', 'Triad River Tours', 'Northern Rockies Adventures', 'Squamish Rafting Company', 'Orion River Rafting', 'Wedge Rafting']"
Banff,Alberta,Horse-riding,"['Conestogo River Horseback Adventures', 'Glen Valley Stables', 'Inspire horsemanship', 'Footnote Farm', 'Copper Cayuse Outfitters', 'Hidden Trails Ltd', 'Leghorn Ranch Horseback Trail Rides']"
Banff,Alberta,Canoeing,"['Spirit of the West Adventures', 'Talaysay Tours', 'Tofino Sea Kayaking', 'Bowron Lake Provincial Park', 'Vancouver Seawall', 'Gulf Island Kayaking', 'Skyview Outdoors', 'Northern Rockies Adventures']"
Banff,Alberta,Boating,"['Reed Point Marina', 'Mosquito Creek Marina', 'Crescent Beach Marina', 'Shelter Island Marina & Boatyard']"
Banff,Alberta,Rock Climbing,"['The Hive Heights', 'Vancouver Climbers Association', 'Climblife', 'Outdoor Bouldering Wall', 'The Rock Wall Climbing Gym', 'Project Climbing Cloverdale', 'Thompson community bouldering', 'Canada West Mountain School', 'Bomber Climbing']"
Banff,Alberta,Cycling,"['Steed Cycles', 'Great Explorations', 'Reckless Shipyards: eBikes, Skis & More!']"
Brooks,Alberta,Horse-riding,"['Banff Trail Riders - Stables', 'Trail Riders of the Canadian Rockies', 'North Shore Equestrian Centre', 'Leghorn Ranch Horseback Trail Rides']"
Brooks,Alberta,River Rafting,"['Pangaea River Rafting | Missoula Whitewater Rafting', 'Canadian Outback Rafting', 'Adams River Rafting Ltd', 'Interior Whitewater Expeditions Ltd', 'Glacier Guides and Montana Raft', 'Alpine Adventures']"
Brooks,Alberta,Beach,"['Buntzen Lake North Beach', 'Dundarave Beach', 'Third Beach', 'Maple Beach', 'Second Beach', 'White Pine Beach', 'Locarno Beach']"
Brooks,Alberta,Picnic,"['Central Park Picnic Areas', 'Picnic Area', 'Rocky Point Picnic Shelter', 'Burnaby Fraser Foreshore Park', 'Hume Park', 'Covered Area', 'Burnaby Fraser Foreshore Park Picnic Areas', 'Picnic Pavilion']"
