city,activity,province
Banff,Alberta,"['Beach', 'Canoeing', 'Cherry Blossom Viewing', 'Skiing/Snowboarding']"
Brooks,Alberta,"['Camping', 'Cycling', 'Cherry Blossom Viewing', 'Boating']"
Calgary,Alberta,"['Boating', 'River Rafting', 'Picnic', 'Fishing', 'Photography']"
Edmonton,Alberta,"['Boating', 'Skiing/Snowboarding', 'Rock Climbing', 'Picnic', 'Cherry Blossom Viewing', 'River Rafting']"
Fort McMurray,Alberta,"['Photography', 'Cherry Blossom Viewing', 'Horse-riding', 'Beach', 'Boating', 'Canoeing']"
Grande Prairie,Alberta,"['Cycling', 'Mountaineering', 'Photography', 'Canoeing', 'Horse-riding']"
Jasper,Alberta,"['Mountaineering', 'Camping', 'Fishing', 'River Rafting', 'Skiing/Snowboarding', 'Swimming']"
Lake Louise,Alberta,"['Canoeing', 'Hiking/Trekking', 'Fishing', 'Cycling']"
Lethbridge,Alberta,"['Photography', 'Cycling', 'Beach']"
Medicine Hat,Alberta,"['Mountaineering', 'Fishing', 'Picnic']"
Red Deer,Alberta,"['Camping', 'Boating', 'Swimming', 'Fishing', 'Canoeing', 'Horse-riding']"
Saint Albert,Alberta,"['Fishing', 'Boating', 'Hiking/Trekking', 'Photography', 'Cycling']"
Barkerville,British Columbia,"['Camping', 'Swimming', 'Picnic']"
Burnaby,British Columbia,"['Picnic', 'Rock Climbing', 'Mountaineering', 'Cherry Blossom Viewing', 'Cycling', 'Boating']"
Campbell River,British Columbia,"['Camping', 'River Rafting', 'Canoeing', 'Mountaineering']"
Chilliwack,British Columbia,"['Horse-riding', 'Skiing/Snowboarding', 'Boating', 'Cherry Blossom Viewing', 'Swimming', 'Cycling']"
Courtenay,British Columbia,"['Cycling', 'Mountaineering', 'Horse-riding', 'Canoeing', 'Rock Climbing']"
Cranbrook,British Columbia,"['Mountaineering', 'Hiking/Trekking', 'Rock Climbing']"
Dawson Creek,British Columbia,"['Horse-riding', 'Fishing', 'Hiking/Trekking', 'Cycling', 'River Rafting']"
Delta,British Columbia,"['Swimming', 'Mountaineering', 'Photography', 'Rock Climbing', 'River Rafting', 'Canoeing']"
Esquimalt,British Columbia,"['Camping', 'Skiing/Snowboarding', 'Canoeing', 'Mountaineering', 'Fishing', 'Rock Climbing']"
Fort Saint James,British Columbia,"['Cycling', 'Horse-riding', 'Hiking/Trekking', 'Skiing/Snowboarding']"
Fort Saint John,British Columbia,"['Hiking/Trekking', 'Swimming', 'Photography', 'Rock Climbing']"
Hope,British Columbia,"['Cycling', 'Canoeing', 'Fishing']"
Kamloops,British Columbia,"['Fishing', 'Canoeing', 'Cycling', 'Beach', 'Hiking/Trekking', 'Camping']"
Kelowna,British Columbia,"['Boating', 'Cycling', 'Camping']"
Kimberley,British Columbia,"['Photography', 'Cherry Blossom Viewing', 'Canoeing', 'Beach']"
Kitimat,British Columbia,"['Horse-riding', 'Picnic', 'Rock Climbing', 'Beach', 'Cycling', 'River Rafting']"
Langley,British Columbia,"['Horse-riding', 'Boating', 'Skiing/Snowboarding', 'Picnic']"
Nanaimo,British Columbia,"['Skiing/Snowboarding', 'Rock Climbing', 'Beach']"
Nelson,British Columbia,"['River Rafting', 'Fishing', 'Hiking/Trekking', 'Photography', 'Cycling', 'Beach']"
New Westminster,British Columbia,"['Fishing', 'Skiing/Snowboarding', 'Camping', 'Swimming', 'Photography', 'Canoeing']"
North Vancouver,British Columbia,"['Camping', 'Fishing', 'Mountaineering', 'Picnic']"
Oak Bay,British Columbia,"['Mountaineering', 'Beach', 'River Rafting', 'Photography', 'Canoeing', 'Skiing/Snowboarding']"
Penticton,British Columbia,"['Boating', 'Picnic', 'River Rafting', 'Swimming', 'Hiking/Trekking']"
Powell River,British Columbia,"['Hiking/Trekking', 'Canoeing', 'Beach', 'Photography']"
Prince George,British Columbia,"['Photography', 'Camping', 'Cycling', 'Hiking/Trekking']"
Prince Rupert,British Columbia,"['Mountaineering', 'Horse-riding', 'Skiing/Snowboarding', 'Fishing']"
Quesnel,British Columbia,"['River Rafting', 'Hiking/Trekking', 'Cycling', 'Rock Climbing', 'Swimming', 'Canoeing']"
Revelstoke,British Columbia,"['Camping', 'Rock Climbing', 'Cycling', 'Picnic', 'Mountaineering', 'Photography']"
Rossland,British Columbia,"['Canoeing', 'Camping', 'Cherry Blossom Viewing']"
Trail,British Columbia,"['Picnic', 'Fishing', 'River Rafting', 'Camping']"
Vancouver,British Columbia,"['Cycling', 'River Rafting', 'Boating', 'Swimming']"
Vernon,British Columbia,"['Cherry Blossom Viewing', 'Picnic', 'Rock Climbing', 'Horse-riding', 'Photography']"
Victoria,British Columbia,"['Canoeing', 'Fishing', 'Rock Climbing']"
West Vancouver,British Columbia,"['River Rafting', 'Photography', 'Cycling']"
White Rock,British Columbia,"['Canoeing', 'Swimming', 'Picnic', 'Boating', 'Cycling', 'Mountaineering']"
Brandon,Manitoba,"['Horse-riding', 'Skiing/Snowboarding', 'Mountaineering']"
Churchill,Manitoba,"['Boating', 'Beach', 'Swimming', 'Hiking/Trekking', 'Fishing']"
Dauphin,Manitoba,"['River Rafting', 'Fishing', 'Cycling']"
Flin Flon,Manitoba,"['Beach', 'Cherry Blossom Viewing', 'Cycling', 'Swimming', 'Hiking/Trekking', 'Horse-riding']"
Kildonan,Manitoba,"['Cherry Blossom Viewing', 'Camping', 'Boating', 'Cycling', 'Fishing', 'Horse-riding']"
Saint Boniface,Manitoba,"['Mountaineering', 'Photography', 'Cycling', 'Swimming', 'Fishing']"
Swan River,Manitoba,"['Horse-riding', 'Cycling', 'Hiking/Trekking']"
Thompson,Manitoba,"['Swimming', 'Camping', 'Beach']"
Winnipeg,Manitoba,"['Cherry Blossom Viewing', 'Beach', 'Picnic', 'Horse-riding', 'Swimming']"
York Factory,Manitoba,"['Hiking/Trekking', 'Rock Climbing', 'Canoeing', 'Camping', 'Beach']"
Bathurst,New Brunswick,"['Picnic', 'Fishing', 'Camping', 'Swimming', 'Photography', 'Skiing/Snowboarding']"
Caraquet,New Brunswick,"['Swimming', 'Camping', 'Photography', 'Horse-riding']"
Dalhousie,New Brunswick,"['Hiking/Trekking', 'Camping', 'Photography', 'River Rafting', 'Swimming']"
Fredericton,New Brunswick,"['Boating', 'Picnic', 'River Rafting']"
Miramichi,New Brunswick,"['Rock Climbing', 'Hiking/Trekking', 'Cycling', 'Camping', 'River Rafting', 'Boating']"
Moncton,New Brunswick,"['Mountaineering', 'Horse-riding', 'Camping']"
Saint John,New Brunswick,"['Skiing/Snowboarding', 'Camping', 'Canoeing', 'River Rafting']"
Argentia,Newfoundland and Labrador,"['Boating', 'Skiing/Snowboarding', 'Photography', 'Cycling']"
Bonavista,Newfoundland and Labrador,"['Boating', 'Camping', 'Photography', 'Picnic']"
Channel-Port aux Basques,Newfoundland and Labrador,"['Camping', 'Skiing/Snowboarding', 'Mountaineering', 'Fishing']"
Corner Brook,Newfoundland and Labrador,"['Skiing/Snowboarding', 'Cherry Blossom Viewing', 'Cycling', 'Photography']"
Ferryland,Newfoundland and Labrador,"['Picnic', 'Hiking/Trekking', 'Swimming', 'Photography']"
Gander,Newfoundland and Labrador,"['Beach', 'Picnic', 'Skiing/Snowboarding', 'River Rafting']"
Grand Falls–Windsor,Newfoundland and Labrador,"['Rock Climbing', 'Camping', 'River Rafting', 'Fishing', 'Cycling', 'Mountaineering']"
Happy Valley–Goose Bay,Newfoundland and Labrador,"['Rock Climbing', 'Fishing', 'Skiing/Snowboarding', 'Photography', 'Beach', 'Hiking/Trekking']"
Harbour Grace,Newfoundland and Labrador,"['Boating', 'River Rafting', 'Skiing/Snowboarding', 'Swimming', 'Hiking/Trekking']"
Labrador City,Newfoundland and Labrador,"['Hiking/Trekking', 'Camping', 'Skiing/Snowboarding', 'Mountaineering']"
Placentia,Newfoundland and Labrador,"['Boating', 'Rock Climbing', 'Beach', 'Mountaineering', 'Camping', 'River Rafting']"
Saint Anthony,Newfoundland and Labrador,"['Photography', 'Camping', 'Cycling', 'Cherry Blossom Viewing', 'Hiking/Trekking', 'Picnic']"
St. John's,Newfoundland and Labrador,"['Cycling', 'Canoeing', 'Rock Climbing', 'Mountaineering', 'Cherry Blossom Viewing', 'Boating']"
Wabana,Newfoundland and Labrador,"['Cherry Blossom Viewing', 'Rock Climbing', 'Horse-riding', 'Skiing/Snowboarding', 'River Rafting', 'Beach']"
Fort Smith,Northwest Territories,"['Beach', 'Camping', 'River Rafting']"
Hay River,Northwest Territories,"['Photography', 'Horse-riding', 'Skiing/Snowboarding', 'Hiking/Trekking']"
Inuvik,Northwest Territories,"['Beach', 'Rock Climbing', 'Fishing', 'River Rafting', 'Cherry Blossom Viewing', 'Boating']"
Tuktoyaktuk,Northwest Territories,"['Hiking/Trekking', 'Boating', 'Cherry Blossom Viewing']"
Yellowknife,Northwest Territories,"['Cycling', 'Horse-riding', 'Mountaineering', 'Canoeing']"
Baddeck,Nova Scotia,"['Cycling', 'Skiing/Snowboarding', 'Cherry Blossom Viewing', 'Beach', 'Canoeing']"
Digby,Nova Scotia,"['Rock Climbing', 'Swimming', 'Photography']"
Glace Bay,Nova Scotia,"['Rock Climbing', 'River Rafting', 'Cycling', 'Horse-riding', 'Camping', 'Mountaineering']"
Halifax,Nova Scotia,"['Picnic', 'Boating', 'Cycling', 'Photography', 'Beach', 'Rock Climbing']"
Liverpool,Nova Scotia,"['Boating', 'Cherry Blossom Viewing', 'Cycling']"
Louisbourg,Nova Scotia,"['Cycling', 'Camping', 'Skiing/Snowboarding', 'Swimming', 'Boating']"
Lunenburg,Nova Scotia,"['Camping', 'Cherry Blossom Viewing', 'Mountaineering', 'Skiing/Snowboarding', 'Swimming', 'Picnic']"
Pictou,Nova Scotia,"['Fishing', 'Beach', 'Boating', 'Skiing/Snowboarding', 'Horse-riding']"
Port Hawkesbury,Nova Scotia,"['Hiking/Trekking', 'Camping', 'Fishing']"
Springhill,Nova Scotia,"['Rock Climbing', 'Hiking/Trekking', 'Mountaineering', 'Beach', 'Camping', 'Skiing/Snowboarding']"
Sydney,Nova Scotia,"['Canoeing', 'Rock Climbing', 'Cherry Blossom Viewing', 'Boating']"
Yarmouth,Nova Scotia,"['Mountaineering', 'Picnic', 'Cycling', 'Rock Climbing', 'Fishing', 'Swimming']"
Iqaluit,Nunavut,"['River Rafting', 'Hiking/Trekking', 'Camping', 'Photography', 'Skiing/Snowboarding', 'Swimming']"
Bancroft,Ontario,"['Fishing', 'Beach', 'Mountaineering']"
Barrie,Ontario,"['Cycling', 'Photography', 'Picnic', 'Fishing']"
Belleville,Ontario,"['Photography', 'Boating', 'Cycling', 'Cherry Blossom Viewing', 'Fishing', 'Camping']"
Brampton,Ontario,"['Mountaineering', 'Canoeing', 'Photography', 'Rock Climbing', 'Camping']"
Brantford,Ontario,"['Camping', 'Rock Climbing', 'Swimming', 'Picnic']"
Brockville,Ontario,"['Swimming', 'Fishing', 'Beach', 'Photography']"
Burlington,Ontario,"['Horse-riding', 'Camping', 'Mountaineering', 'Photography']"
Cambridge,Ontario,"['Skiing/Snowboarding', 'Camping', 'Cherry Blossom Viewing', 'Picnic', 'Cycling']"
Chatham,Ontario,"['Beach', 'Boating', 'Rock Climbing', 'Cherry Blossom Viewing', 'Mountaineering', 'Horse-riding']"
Chatham-Kent,Ontario,"['Camping', 'Mountaineering', 'Hiking/Trekking', 'Cycling', 'River Rafting', 'Horse-riding']"
Cornwall,Ontario,"['Camping', 'Fishing', 'Photography']"
Elliot Lake,Ontario,"['Skiing/Snowboarding', 'Hiking/Trekking', 'Cherry Blossom Viewing', 'Canoeing', 'Camping']"
Etobicoke,Ontario,"['Boating', 'Mountaineering', 'Canoeing']"
Fort Erie,Ontario,"['Fishing', 'Skiing/Snowboarding', 'Mountaineering', 'Boating']"
Fort Frances,Ontario,"['Cherry Blossom Viewing', 'Picnic', 'River Rafting']"
Gananoque,Ontario,"['Picnic', 'Boating', 'Beach', 'Cherry Blossom Viewing', 'Swimming']"
Guelph,Ontario,"['Skiing/Snowboarding', 'Photography', 'Horse-riding', 'Fishing', 'Mountaineering']"
Hamilton,Ontario,"['Cycling', 'Photography', 'Swimming']"
Iroquois Falls,Ontario,"['Boating', 'Swimming', 'Fishing', 'Cycling']"
Kapuskasing,Ontario,"['Photography', 'Rock Climbing', 'Hiking/Trekking', 'River Rafting', 'Boating']"
Kawartha Lakes,Ontario,"['Swimming', 'Canoeing', 'Mountaineering', 'Rock Climbing', 'Camping']"
Kenora,Ontario,"['Hiking/Trekking', 'Fishing', 'Skiing/Snowboarding', 'Beach', 'Boating', 'Cherry Blossom Viewing']"
Kingston,Ontario,"['Canoeing', 'Boating', 'Picnic', 'Mountaineering', 'Fishing', 'River Rafting']"
Kirkland Lake,Ontario,"['River Rafting', 'Swimming', 'Boating', 'Rock Climbing', 'Cycling']"
Kitchener,Ontario,"['Boating', 'Cherry Blossom Viewing', 'Swimming', 'Canoeing', 'Hiking/Trekking', 'Rock Climbing']"
Laurentian Hills,Ontario,"['Picnic', 'Horse-riding', 'Canoeing']"
London,Ontario,"['Picnic', 'Boating', 'Skiing/Snowboarding', 'Swimming', 'Rock Climbing', 'Hiking/Trekking']"
Midland,Ontario,"['Cherry Blossom Viewing', 'Cycling', 'Picnic', 'Canoeing', 'Skiing/Snowboarding', 'Camping']"
Mississauga,Ontario,"['Fishing', 'Rock Climbing', 'Boating']"
Moose Factory,Ontario,"['Picnic', 'River Rafting', 'Hiking/Trekking']"
Moosonee,Ontario,"['Picnic', 'Canoeing', 'Mountaineering', 'Camping', 'Rock Climbing']"
Niagara Falls,Ontario,"['Swimming', 'Camping', 'Mountaineering', 'Beach', 'Photography']"
Niagara-on-the-Lake,Ontario,"['Mountaineering', 'River Rafting', 'Skiing/Snowboarding', 'Cherry Blossom Viewing', 'Rock Climbing', 'Camping']"
North Bay,Ontario,"['Rock Climbing', 'Cycling', 'Horse-riding', 'Camping', 'Picnic']"
North York,Ontario,"['Skiing/Snowboarding', 'Cherry Blossom Viewing', 'Horse-riding']"
Oakville,Ontario,"['Swimming', 'Camping', 'Cherry Blossom Viewing', 'Photography', 'Cycling', 'Hiking/Trekking']"
Orillia,Ontario,"['Cherry Blossom Viewing', 'Hiking/Trekking', 'Mountaineering', 'Beach']"
Oshawa,Ontario,"['Rock Climbing', 'Camping', 'Horse-riding', 'Cycling', 'Boating', 'Photography']"
Ottawa,Ontario,"['River Rafting', 'Skiing/Snowboarding', 'Canoeing']"
Parry Sound,Ontario,"['Beach', 'Cherry Blossom Viewing', 'Picnic']"
Perth,Ontario,"['Camping', 'Fishing', 'Photography', 'Mountaineering', 'Canoeing', 'Rock Climbing']"
Peterborough,Ontario,"['Canoeing', 'Picnic', 'Beach', 'Horse-riding', 'Cherry Blossom Viewing', 'Fishing']"
Picton,Ontario,"['Cherry Blossom Viewing', 'Boating', 'Horse-riding', 'Photography', 'River Rafting']"
Port Colborne,Ontario,"['Camping', 'Horse-riding', 'Mountaineering', 'Fishing', 'Rock Climbing']"
Saint Catharines,Ontario,"['Camping', 'Mountaineering', 'Horse-riding', 'Canoeing', 'Boating', 'River Rafting']"
Saint Thomas,Ontario,"['Cycling', 'Swimming', 'Photography']"
Sarnia-Clearwater,Ontario,"['Fishing', 'Photography', 'Rock Climbing']"
Sault Sainte Marie,Ontario,"['Swimming', 'Photography', 'Hiking/Trekking', 'Picnic']"
Scarborough,Ontario,"['Picnic', 'Photography', 'Camping', 'Skiing/Snowboarding', 'Canoeing']"
Simcoe,Ontario,"['Skiing/Snowboarding', 'Cherry Blossom Viewing', 'Cycling', 'Canoeing']"
Stratford,Ontario,"['Mountaineering', 'Hiking/Trekking', 'Canoeing', 'Photography', 'Cherry Blossom Viewing']"
Sudbury,Ontario,"['Fishing', 'Horse-riding', 'Mountaineering', 'Beach', 'Canoeing', 'River Rafting']"
Temiskaming Shores,Ontario,"['Skiing/Snowboarding', 'Cycling', 'Picnic', 'Fishing', 'Beach', 'Hiking/Trekking']"
Thorold,Ontario,"['Picnic', 'Horse-riding', 'Mountaineering', 'Beach']"
Thunder Bay,Ontario,"['Camping', 'Photography', 'Horse-riding', 'Fishing', 'Rock Climbing', 'Cherry Blossom Viewing']"
Timmins,Ontario,"['Mountaineering', 'Beach', 'Hiking/Trekking', 'Canoeing', 'Fishing', 'Cherry Blossom Viewing']"
Toronto,Ontario,"['Beach', 'Photography', 'Cycling']"
Trenton,Ontario,"['Rock Climbing', 'Mountaineering', 'Cycling', 'Beach', 'Boating']"
Waterloo,Ontario,"['Mountaineering', 'Photography', 'Picnic', 'Fishing']"
Welland,Ontario,"['Cycling', 'Camping', 'Canoeing', 'Horse-riding']"
West Nipissing,Ontario,"['Mountaineering', 'Skiing/Snowboarding', 'Camping']"
Windsor,Ontario,"['Mountaineering', 'Hiking/Trekking', 'Beach']"
Woodstock,Ontario,"['Picnic', 'River Rafting', 'Beach', 'Hiking/Trekking']"
York,Ontario,"['Fishing', 'Photography', 'Beach', 'Horse-riding']"
Borden,Prince Edward Island,"['Horse-riding', 'Cherry Blossom Viewing', 'Canoeing', 'Camping']"
Cavendish,Prince Edward Island,"['Cycling', 'Canoeing', 'Mountaineering', 'Horse-riding', 'Photography', 'Cherry Blossom Viewing']"
Charlottetown,Prince Edward Island,"['Rock Climbing', 'Cherry Blossom Viewing', 'Skiing/Snowboarding', 'Horse-riding', 'Canoeing', 'Cycling']"
Souris,Prince Edward Island,"['Cycling', 'Canoeing', 'Mountaineering', 'Boating', 'Horse-riding', 'Fishing']"
Summerside,Prince Edward Island,"['Photography', 'Fishing', 'Horse-riding', 'Boating', 'Cherry Blossom Viewing', 'Camping']"
Asbestos,Quebec,"['Rock Climbing', 'Fishing', 'Picnic']"
Baie-Comeau,Quebec,"['Skiing/Snowboarding', 'Boating', 'Canoeing', 'Picnic']"
Beloeil,Quebec,"['Cherry Blossom Viewing', 'Cycling', 'Mountaineering', 'Hiking/Trekking', 'Photography']"
Cap-de-la-Madeleine,Quebec,"['Horse-riding', 'Camping', 'Fishing', 'Canoeing']"
Chambly,Quebec,"['Swimming', 'Horse-riding', 'Photography', 'Cycling']"
Charlesbourg,Quebec,"['Swimming', 'Mountaineering', 'Canoeing', 'Camping', 'Fishing', 'Cherry Blossom Viewing']"
Châteauguay,Quebec,"['Fishing', 'Hiking/Trekking', 'Rock Climbing', 'Cycling', 'Swimming']"
Chibougamau,Quebec,"['River Rafting', 'Cycling', 'Camping', 'Rock Climbing']"
Côte-Saint-Luc,Quebec,"['Horse-riding', 'Mountaineering', 'Rock Climbing', 'Cycling']"
Dorval,Quebec,"['Camping', 'Canoeing', 'Photography', 'Cycling']"
Gaspé,Quebec,"['Fishing', 'Horse-riding', 'Beach']"
Gatineau,Quebec,"['Cherry Blossom Viewing', 'Fishing', 'River Rafting']"
Granby,Quebec,"['Beach', 'Camping', 'Rock Climbing', 'Cherry Blossom Viewing']"
Havre-Saint-Pierre,Quebec,"['Fishing', 'Hiking/Trekking', 'Boating']"
Hull,Quebec,"['Skiing/Snowboarding', 'Fishing', 'Camping', 'Picnic']"
Jonquière,Quebec,"['Skiing/Snowboarding', 'Camping', 'Swimming', 'Horse-riding']"
Kuujjuaq,Quebec,"['Picnic', 'Cycling', 'Beach', 'Canoeing', 'Photography', 'Camping']"
La Salle,Quebec,"['Boating', 'Fishing', 'Cherry Blossom Viewing', 'Skiing/Snowboarding', 'Hiking/Trekking']"
La Tuque,Quebec,"['Fishing', 'Mountaineering', 'Picnic', 'Beach', 'Swimming']"
Lachine,Quebec,"['Beach', 'Hiking/Trekking', 'Swimming']"
Laval,Quebec,"['Canoeing', 'Mountaineering', 'Swimming']"
Lévis,Quebec,"['Cherry Blossom Viewing', 'Fishing', 'Swimming', 'River Rafting']"
Longueuil,Quebec,"['Hiking/Trekking', 'Canoeing', 'Horse-riding', 'Picnic', 'Cherry Blossom Viewing', 'Swimming']"
Magog,Quebec,"['Rock Climbing', 'River Rafting', 'Camping', 'Picnic', 'Hiking/Trekking', 'Canoeing']"
Matane,Quebec,"['Cycling', 'Swimming', 'Beach', 'Boating']"
Montreal,Quebec,"['Camping', 'Horse-riding', 'Swimming']"
Montréal-Nord,Quebec,"['Swimming', 'Canoeing', 'Hiking/Trekking']"
Percé,Quebec,"['Skiing/Snowboarding', 'Beach', 'Photography']"
Port-Cartier,Quebec,"['River Rafting', 'Mountaineering', 'Camping', 'Boating', 'Cherry Blossom Viewing', 'Swimming']"
Quebec,Quebec,"['Mountaineering', 'Cycling', 'Cherry Blossom Viewing']"
Rimouski,Quebec,"['Cycling', 'Picnic', 'Beach', 'River Rafting']"
Rouyn-Noranda,Quebec,"['Picnic', 'Photography', 'River Rafting', 'Beach']"
Saguenay,Quebec,"['Cycling', 'Rock Climbing', 'Horse-riding', 'Skiing/Snowboarding', 'Cherry Blossom Viewing']"
Saint-Eustache,Quebec,"['Swimming', 'Cherry Blossom Viewing', 'Mountaineering', 'Canoeing']"
Saint-Hubert,Quebec,"['Rock Climbing', 'Cycling', 'Skiing/Snowboarding', 'Swimming', 'Camping']"
Sainte-Anne-de-Beaupré,Quebec,"['Mountaineering', 'Boating', 'Horse-riding', 'Picnic']"
Sainte-Foy,Quebec,"['Horse-riding', 'Cycling', 'River Rafting', 'Swimming', 'Mountaineering']"
Sainte-Thérèse,Quebec,"['Beach', 'Cherry Blossom Viewing', 'Picnic', 'Fishing', 'Horse-riding', 'Photography']"
Sept-Îles,Quebec,"['Cherry Blossom Viewing', 'Cycling', 'Hiking/Trekking', 'Photography', 'Fishing']"
Sherbrooke,Quebec,"['Mountaineering', 'Skiing/Snowboarding', 'Fishing']"
Sorel-Tracy,Quebec,"['Boating', 'Canoeing', 'Fishing', 'Photography', 'Horse-riding']"
Trois-Rivières,Quebec,"['Skiing/Snowboarding', 'Picnic', 'River Rafting', 'Hiking/Trekking', 'Fishing']"
Val-d’Or,Quebec,"['Horse-riding', 'Boating', 'Mountaineering']"
Waskaganish,Quebec,"['Camping', 'Horse-riding', 'Boating', 'Rock Climbing', 'Skiing/Snowboarding']"
Batoche,Saskatchewan,"['Cycling', 'Beach', 'Camping', 'Cherry Blossom Viewing', 'Fishing']"
Cumberland House,Saskatchewan,"['Hiking/Trekking', 'Cherry Blossom Viewing', 'River Rafting', 'Cycling']"
Estevan,Saskatchewan,"['Canoeing', 'Picnic', 'Camping']"
Flin Flon,Saskatchewan,"['Cherry Blossom Viewing', 'Swimming', 'Beach', 'Picnic', 'Camping', 'Hiking/Trekking']"
Moose Jaw,Saskatchewan,"['Beach', 'Swimming', 'Rock Climbing']"
Prince Albert,Saskatchewan,"['Rock Climbing', 'Canoeing', 'Picnic', 'River Rafting', 'Mountaineering']"
Regina,Saskatchewan,"['Horse-riding', 'Photography', 'Skiing/Snowboarding', 'Cherry Blossom Viewing']"
Saskatoon,Saskatchewan,"['Cherry Blossom Viewing', 'Boating', 'Mountaineering', 'Hiking/Trekking']"
Uranium City,Saskatchewan,"['Photography', 'Camping', 'Horse-riding', 'Fishing', 'Mountaineering']"
Dawson,Yukon,"['Picnic', 'Canoeing', 'Mountaineering']"
Watson Lake,Yukon,"['Cherry Blossom Viewing', 'Skiing/Snowboarding', 'Mountaineering', 'Cycling']"
Whitehorse,Yukon,"['Rock Climbing', 'Skiing/Snowboarding', 'Picnic']"
