activity,spots
Swimming,"['Garden Grove Dr', 'MacPherson Outdoor Pool', 'Eileen Dailly Leisure Pool & Fitness Centre']"
River Rafting,"['Winding Waters River Expeditions', 'Orion River Rafting', 'Squamish Rafting Company', 'West Coast Canyoning Adventures', 'Glacier Guides and Montana Raft', 'Canadian Outback Rafting', 'Outdoor Adventure Center']"
Cherry Blossom Viewing,"['Cherry Blossom Avenue', 'Sunrise Park', 'Jean Beaty Park', 'John Hendry Park (Trout Lake Park)', 'Salsbury Park']"
Picnic,"['Picnic point', 'Meunch Bar Picnic Area', 'Jack`s Burn picnic area']"
Beach,"['Trout Lake Beach', 'Parkside Beach']"
Rock Climbing,"[""Clip 'n Climb Vancouver"", 'The Hive Heights', 'Climb Away']"
Hiking/Trekking,"['Central Valley Greenway', 'Burnaby Mountain walking path', 'Trail of Hope', 'Baden Powell Trail', 'Velodrome Trail', 'Burnaby Mountain Urban Trail', 'Glenbrook Ravine Trail']"
Camping,"['Campertunity', 'BCRV']"
Cycling,"['Bert Flinn Park', 'Riverview Forest Biking Trails', ""Cap's Electric Bike Centre"", 'Steed Cycles', 'HUB Cycling', 'Willingdon Linear Park', 'Great Explorations']"
Boating,"['Burrard Civic Marina', 'Ambleside Park | West Vancouver', 'Cooper Boating', '2nd Launch boat', 'Crescent Beach Marina', 'Rocky Point Public Boat Launch']"
Skiing/Snowboarding,"['RED Mountain Resort', 'Grouse Mountain', 'Big White Ski Resort', 'Mt Seymour Resort', 'Baldy Mountain Resort', 'Whitecap Alpine']"
Fishing,"['John Hendry Park (Trout Lake Park)', 'ABF Charters/ Guided Sportfishing/Gibsons BC', 'Lower Pond', 'Deer Lake Park', 'Fraser Fishing Adventures', 'Cleveland Dam', 'Kanaka Creek Regional Park']"
Horse-riding,"['Sun Hills Riding Centre', 'Carousel Canada Equine Riding Centre', 'Saddle Peak Trail Rides', 'Farm Ventures', 'Pacific Riding for Developing Abilities', 'Conestogo River Horseback Adventures', 'Valle Vista Stables', 'Leghorn Ranch Horseback Trail Rides', 'Boundary Ranch']"
Canoeing,"['Creekside Kayaks at Dragon Boat BC', 'Spirit of the West Adventures', 'North Island Kayak']"
Mountaineering,"['Woodland Falls', 'Vancouver Mountain Guides']"
Photography,"['Sunset Beach Park', 'Stanley Park', 'Equinox Gallery']"
