Swimming,river rafting,cherry blossom viewing,picnic,beach,rock climbing,"hiking, trekking",camping,cycling,boating,skiing/snowboarding
,Tents,A warm jacket or outerwear,For Toting and Seating:,CLOTHES & ACCESSORIES TO PACK,Gear,Hiking Gear,"Tent (and footprint, stakes)",,,
Swimming costume,Sleeping bags,A large picnic mat,,Swimsuits,,Daypack,Sleeping bags,,,
Trunks,Sleeping pads,An umbrella,Picnic basket or canvas bag,Cover-ups,Rope,Trekking poles,Sleeping pads,,,
Shorts,Pillows,"Disposable utensils, cutlery & garbage bags",Cooler,Sunglasses,Belay/rappel device,,Camping pillow,,,
"T-shirt, leggings",Headlamps,A book or something to entertain you,Picnic blanket (preferably waterproof on the bottom),Hats,Locking carabiners,Clothing & Footwear,Headlamps or flashlights (and extra batteries),,,
Towels,Lantern,,Picnic chairs (if anyone in your group is not happy on the ground),Sandals,Non-locking carabiners,Moisture-wicking underwear,Camp chairs,,,
Robe,Camp chairs,,Portable picnic table (if that's the kind of picnic you're having!),Water Shoes,PAS (Personal Anchor System),Moisture-wicking T-shirt,Camp table (if no picnic table),,,
Swimming cap,Table,,,Socks,Quickdraws,Quick-drying pants/shorts,Lantern (and mantles and fuel/batteries if needed),,,
Goggles,Camera,,For Serving:,Undershirts,Daypack,"Long-sleeve shirt (for sun, bugs)","Sunshade, tarp or screen house",,,
Toiletries,Games,,,Bras,Helmet,Lightweight fleece or jacket,Hammock,,,
Hair clips or hair bands,GPS,,Plates,Sleepwear,Harness,Boots or shoes suited to terrain,Cots,,,
"Flip flops, poolside shoes",River map,,Utensils (including serving utensils),T-shirts,Rock climbing shoes,Socks (synthetic or wool),Sleeping bag liners,,,
Locker coins,River permit (if required),,Napkins,Casual Shirts,Chalk,Extra clothes * (beyond the minimum expectation),Firewood sourced near campsite,,,
Water bottle,Satellite phone (consider for safety if no service),,Cups,Jeans,Tape or rappel gloves (used to protect hands),Rainwear (jacket and pants),Camp rug,,,
Snacks,Waterproof watch,,Drinks (including lots of water),Pants,First Aid Kit,Long underwear,Tablecloth and clips (or tape),,,
,Daypack for hikes,,Bottle opener,Shorts,Sunscreen,"Warm, insulated jacket or vest",Clothesline with clips,,,
,Knives (2),,"Cutting board (also useful as a level serving surface, perfect for drinks)",Dresses,Headlamp or flashlight,Fleece pants,,,,
,Umbrella or other shade,,"Sharp knife (even if you don't plan to cut things, it's still a good idea)",Skirts,Extra batteries,Gloves or mittens,Tools & Repair Items,,,
,Firepan (required for most trip),,Salt and pepper,Light Sweaters,Knife or multitool,Warm hat,Multi-tool,,,
,Wood (if fires are allowed),,"Mustard, mayo, ketchup, etc., if needed (a great way to make use of extra packets from a takeout place)",Leisure Shoes,Water,Bandana or Buff,Duct tape,,,
,Hatchet,,,Belts,"Snack (gels, energy bars, trail mix, granola bar, etc.)","Gaiters (for rainy, snowy or muddy conditions)",Extra cord,,,
,Otter box or Ammo can (waterproof) for phone/keys,,For Cleanup:,Jewelry,Clothing,,Tent-pole repair sleeve,,,
,Dry bags,,,Beach Bag,,Food & Water,Pad/Mattress repair kit,,,
,"Toilet system (washable, leak-proof), TP, hand santizer",,Paper towels (and maybe wet wipes),Small Purse,Wicking T-shirt,Water bottles and/or reservoir *,Mallet or hammer (for hammering tent stakes),,,
